co_name,contact
"Mutual Power Wealth Management Ltd.
美保華財富管理有限公司",arnold@mutualpower.com.hk
"Navigator Asset Management Limited
領航國際資產管理有限公司",keith.hf.lau@namintl.com.hk
"New Century International Insurance Advisory Ltd.
新世紀國際保險顧問有限公司",cs@ncihk.com
"Newco Insurance Brokers Ltd.
新高保險顧問有限公司",info@newco-ins.com
"New Dorbo Insurance Brokers Ltd.
新多寶保險經紀有限公司",info@newdorbo.com.hk
"New Universe Pacific Financial Management Limited
新寰宇太平洋理財顧問有限公司",universe@newupacific.com
"Nikyo Insurance Brokers Ltd.
日京保險顧問有限公司",ann@nikyo.com.hk
"NKFE Insurance Brokers Ltd.
民聯遠東（保險顧問）有限公司",allanlung.nkfe@gmail.com
NNI Insurance Brokers (H.K.) Co. Ltd.,info@nnihk.com
OC Wealth Limited,info@ocw.hk
OL Alliance Insurance Brokers Ltd.,olivia.lau@olaib.com.hk
One Finanz Ltd.,ofl@onefinanz.com
"Oreana Financial Services Limited
澳利亞金融服務有限公司",info@oreanafinancial.com
"Otto Insurance Brokers Limited
奧圖保險經紀有限公司",lucci.leung@otto-insurance.com
"Pacific Concord Insurance Consultants Ltd.
中洋保險顧問有限公司",info@pcicl.com.hk
Pacific Prime Insurance Brokers Ltd.,neil@kwiksure.com;billie@kwiksure.com
"Pacific Union Insurance Brokers Ltd.
聯衛保險經紀有限公司",puib@biznetvigator.com
"Pacific Uzoom International Capital Limited
太平優正國際資本有限公司",fanchihung@yahoo.com.hk
"Parich Wealth Management Ltd.
柏越資產理財管理有限公司",karen.lam@parich.com.hk
"PCA Wealth Management Ltd.
信誠財富管理有限公司",pcaadmin@pru.com.hk
"PC International (HK) Limited
寶鉅國際有限公司",ronald@pcsfg.com.hk;agnes@pcsfg.com.hk
"People Insurance Broker Ltd.
眾安保險經紀有限公司",admin@peopleinsurance.com.hk
"People Securities Company Limited
萬眾證券有限公司",cs@peoplesecurities.com.hk
"Ping An of China Securities (Hong Kong) Co. Ltd.
中國平安証券(香港)有限公司",wm.pacshk@pingan.com
"PINS Union Financial Services Limited
平盛聯合理財顧問有限公司","pinsunion@gmail.com,samcwk@gmail.com"
"Pioneer Financial Advisors Ltd.
先鋒財務策劃有限公司",julie@pioneergroup.com.hk
Pishon Wealth Management Limited,edwin924@gmail.com
"PLA (Hong Kong) Ltd.
龐堡保險顧問(香港)有限公司",stephen.leung@pla.hk
"P & L Management Consultants Limited
祥豐管理顧問有限公司",lilysze@lilysze.com
"Polaris Securities (Hong Kong) Limited
寶來證券(香港)有限公司",6110HK-Compliance.brk@yuanta.com
"Potect Insurance Broking Co. Ltd.
保德保險顧問有限公司",insurance@potect.com
Practical Insurance Brokerage Ltd.,pib388@yahoo.com.hk
"Premier Financial Management Ltd.
卓見理財顧問有限公司",admin@premierfinancial.com.hk
Premier Global Advisors Ltd.,michael@premierglobaladvisors.com
"Prestige International Wealth Management Ltd.
天譽國際財富管理有限公司",admin@prestigegroup.com.hk;sparkywong@prestigegroup.com.hk
"Prestige Partners Limited
盛世理財有限公司",admin@psggp.com;terrie@psggp.com
"Prime Financial Asia Ltd.
摯誠金融亞洲有限公司",info@prime-fa.com
"Prime Wealth Management Limited
弘略理財有限公司",prime_admin@fosunhani.com
"Prince Foster Wealth Management Limited
富仕德財富管理有限公司",kovenip@princefoster.com
"Professional Practice Insurance Brokers Ltd.
栢年規劃保險顧問有限公司",mande@ppib.com.hk;doris@ppib.com.hk
"Pro Insurance & Financial Management Limited
匯才保險財資管理有限公司",proifm0658@gmail.com
"Prosperity Financial & Insurance Services Limited
恒豐金融保險服務有限公司",prost.lui_prosperity@yahoo.com;septwongwl@yahoo.com.hk
"Proswealth Asia Insurance Services Limited
豐泰亞洲保險服務有限公司",johnycso@gmail.com
"Qianhai Wealth Management Limited
前海理財有限公司",info@qianhai-wealth.com
"Qualifirst Insurance Consultants Ltd.
世運保險顧問有限公司",olympic@hkstar.com
"Queensway Asset Management Ltd.
紀宏資產管理有限公司",irene@queenswayasset.com
"Raffles Capital Holdings Limited
萬方資本集團有限公司",hongkong@rafflesgroup.co
Rare Earth Insurance Partners Limited,candace.chan@rareearthpartners.com;
"Ravarock Asset Management Ltd.
盈通資產管理有限公司",enquiry@mhfh.com.hk
"R.C.W. Financial Services Ltd.
中輝偉創理財服務有限公司",bryan.wu@rcwgrp.com;fs.cs01@rcwfs.com
"Realife Insurance Brokers Ltd.
恒傑保險業務有限公司",info@realife.com.hk
"Redford Wealth Planning Limited
泓福財富策劃有限公司",admin@redfordwealth.com
"Red Stone Global Investment Ltd.
紅石環球投資有限公司",nelson.chong@redstoneglobal.com.hk;
Regency International Insurance Brokers Ltd.,wilsontse@regencytouch.com
"R.E. Lee International Hong Kong Ltd.
亞溢利國際(香港)有限公司",carly.kwok@relee.com.hk
"Reliable Partner Consultant Limited
薈信顧問有限公司",patrickli@rpc-fin.com
"Reliance International Financial Planners Ltd.
誠智國際財經策劃有限公司",chinyliu@reliance-intl.com
"Rex Global Asset Management Ltd.
卓傑環球資產管理有限公司",info@rexglobal.com.hk
"Rhoba Financial Services Ltd.
浩霸理財有限公司",admin@rhobagroup.com;lawrence@rhobagroup.com
"Rifa Wealth Management Limited
日發財富管理有限公司",kingtam@rifawm.com
"Risk Management Insurance Brokerage Ltd.
加安保險顧問有限公司",bie@riskmgtgroup.com
"Rolmax Consultants Ltd.
祿名顧問有限公司",info@rolmax.com.hk
"Royal Dynamic Wealth Management Co. Ltd.
皇家動力財富管理有限公司",admin@dynamicfs.hk
"Safe Gold Advisors Limited
鼎展理財策劃有限公司",CE@safegoldgroup.com
"Sagacity Asia Insurance Brokers Limited
睿智亞洲保險經紀有限公司",mickey@sagacityasia.com.hk
"SAG Brokers (Hong Kong) Limited
宏圖保險經紀有限公司",elo@sagbrokers.com
SAG Specialty International Limited,cwc608@gmail.com
"Salus Insurance Brokers Limited
納思保險顧問有限公司",eva.mang@salus.com.hk;ronnie.kwong@salus.com.hk
"SALUS Resources Partners Limited
納思資源策劃有限公司","info@salus.com.hk,david.ng@salus.com.hk"
"Scarborough Insurance Brokers Ltd.
加保保險顧問有限公司",cs@sb-ins.com.hk
"Seascope Insurance Services (Hong Kong) Limited
運豐保險顧問(香港)有限公司",ace.hong@seains.com.hk
"Seascope Risk Services (HK) Ltd.
運豐企業風險管理(香港)有限公司",vincent.tse@seains.com.hk
S.F.I. International Limited,eddie@sfiins.com
"SG Wealth Management Limited
上古國際保險經紀有限公司",wealth@shanggu-group.com
Shenton Limited,figtree495@iinet.net.au
"Sheraton Insurance Brokers Ltd
喜來登保險經紀有限公司",sheraton18@gmail.com
"ShineNex Wealth Management Limited
中昇財富管理有限公司",savinkwok@hjtfhk.com
"Simon So Insurance Service Ltd.
蘇壽山保險服務有限公司",simonsoins@gmail.com
"Sincerity Insurance Brokers Ltd.
德誠保險顧問有限公司",admin@sincerity.com.hk
"Sino-Benefit Insurance Brokers (Hong Kong) Limited
中盈保險經紀(香港)有限公司",raymondlai@sino-benefit.com
"SinoCapital Wealth Management (HK) Ltd.
盈豐資本財富管理(香港)有限公司",info@sinocapital.hk
"Sino Golden Wealth Management Limited
中金財富管理有限公司",compliance@zhongjin.com.hk
"Sinorich Management Limited
中裕管理有限公司","jhuang@sino-ri.com,j7070@qq.com"
"SITC Insurance Brokers (HK) Co. Ltd.
海豐保險經紀(香港)有限公司",jwg@sitc.com;insurance@sitc.com
"S K Insurance Brokers Ltd.
恆興保險顧問有限公司",rickysk1@netvigator.com
"Skyworld Insurance Brokers Limited
天下保險顧問有限公司",ccheng@skyworld.global
"Smartable Insurance Brokers Ltd.
駿寶保險經紀有限公司",smartable_brokers@yahoo.com.hk
"South China Wealth Advisory Limited
南華財富管理顧問服務有限公司",vincent.leung@scassets.com
"South China Wealth Management Ltd.
南華財富管理有限公司",vincent.leung@sctrade.com
"Southwest Securities (HK) Asset Management Limited
西證(香港)資產管理有限公司",compliance@swsc.hk;vicky.wong@swsc.hk;Pauline.hon@swsc.hk
"ST Asset Management Ltd.
天樹資產管理有限公司",kitty.chan@stasset.com.hk
"Stockades Capital Management Company Ltd.
基盛資產管理有限公司",tammy.tam@stockadescm.com;admin@stockadescm.com
"Strategic Insurance Brokers Alliance Ltd.
保險經紀策略聯盟有限公司",info@siba.com.hk
"Success Wealth Management Limited
實德財富管理有限公司",info.insurance@successwm.com
"Sunbright Wealth Management Limited
日彤財富管理有限公司",lily.cheng@sunbrightwm.com
"Sun Chong Fung Insurance Consultants Ltd.
新昌豐保險顧問有限公司",barrychan@scf.com.hk
"Sun Flower Insurance Brokers Ltd.
新華保險顧問有限公司","raymond@sunflowergroup.com.hk,fanny@sunflowergroup.com.hk"
Sun Fung Insurance Brokers Limited,albert@sunfungins.com
"Super Harvest Insurance Broker Limited
豐收保險經紀有限公司",ban.lee@pingansecgp.com
"Synergy Wealth Management Ltd.
先致財富管理有限公司",kennis.ng@synergywm.com.hk;admin@synergywm.com.hk
System (Far East) Insurance Brokers Ltd.,anmol@systemfareast.com
"Taifu Asset Management Ltd.
太富資產管理有限公司",cs@taifu-capital.com
"Tai On Insurance Broker Ltd.
泰安保險經紀有限公司",sales@taion-insurance.com.hk
"Talent Services Ltd.
才俊服務有限公司",info@talentservices.com.hk
"Target Global Wealth Management Limited
泰達新理財有限公司",karenachan@targetgwm.com
"TC Concord Wealth Management Limited
天宸康合財富管理有限公司",shannontang@tccwm.com.hk
"Technic Essential Insurance and Reinsurance Brokers Limited
華利保險及再保險經紀有限公司",admin@grandiose.hk
"Tek Fong Group Limited
德方集團有限公司",frankie@tekfong.com
"Tengard Financial Services Ltd.
騰祺理財服務有限公司",admin@tengard.com
"Tenti Wealth Management Co. Ltd.
天地卓越理財有限公司","jeffrey@tenti.com.hk,sophia@tenti.com.hk"
"The Core Insurance Brokers Limited
核聚保險經紀有限公司",henry.lau@tcsec.com
"The LOG International Ltd.
保滙國際有限公司",cs_admin@thelog.hk;account@thelog.hk
"The Tao Wealth Management Ltd.
有道財富管理有限公司",info@thetao.com.hk
"Thornton Global Wealth Management Ltd.
豐盛環球理財有限公司",kitshum@thorntonglobal.com
"Tianqin International Fortune Consultant Company Limited
天勤國際財富顧問有限公司",laiming1102@gmail.com
"Tinco Wealth Management Ltd.
天行財富管理有限公司",chan.kwokwai@tinco.hk;ir@tinco.hk
"Tin Fung Insurance Brokers Limited
天豐保險經紀有限公司",admin@tinfung.com;sylvia@tinfungins.com;
"TLC Insurance Services Company Limited
晉諾保險服務有限公司",percyys@tlc-svc.com.hk
"Todd Green International Limited
德堅環球有限公司",alanchan@todd-green.com
"Tongfang Wealth Management Limited
同方財富管理有限公司",marco.hui@gpf.com.hk
"Topone Consultants Ltd.
展盛顧問有限公司",cs.topone@outlook.com
"Topstone International Insurance Brokers Limited
磐石國際保險顧問有限公司",edgar.k.k.cheng@gmail.com
"Total Specialty Insurance Brokers Limited
拾全保險經紀有限公司",info@totalspecialtyins.com;sandralee@totalspecialtyins.com
"Transcend RE Services Co. Ltd.
照光服務有限公司",roland.lachon@transcendre.org
"Trillion Wealth Management Limited
灝豐財富管理有限公司",michael@trillion.hk;leolau@umcl.hk
UGF Risk Solutions Company Limited,general@ugfrs.com.hk
"UHO International Wealth Management Co. Ltd.
友和國際財富管理有限公司",operation@uho.com.hk;ernietkchu@uho.com.hk
"UIC Financial Advisors Limited
環宇理財有限公司",doris@uic.com.hk
"Union Financial Advisors Limited
匯基理財有限公司",henrychau@unionfa.net
"Uni-Pro Wealth Management Co. Ltd.
陞匯資產管理有限公司",jeffreyip@uni-pro.com.hk
"Unistand Financial Services Limited
焯峰理財服務有限公司",audrie.pan@unistand.com.hk
"United Able International Limited
駿盟國際有限公司",info@lynco.com.hk
"United China Professional Insurance Brokers Ltd.
中信保險專業顧問有限公司",perry.lee@united-china.com.hk
"Universal Insurance Consultants & Brokers Ltd.
環宇保險顧問經紀有限公司",doris@uic.com.hk
"Universal Prosper Financial Consultants Limited
萬象理財顧問有限公司",mhlee@up-financial.com
"Vantage Insurance Services Co. Ltd.
卓越保險經紀有限公司",vantage3355@gmail.com
"Venhouse Financial Planning Ltd.
鐶安財務策劃有限公司",venhouse@venhouse.com
"Venson Insurance Brokers Ltd.
宏健保險顧問有限公司",adrian@venson.co
"Vertex Insurance Brokers Ltd.
域嘉保險經紀有限公司",vertexuser4@gmail.com
"VG Private Wealth Management Limited
德盛私人財富管理有限公司",wm.ops@vg-pb.com
"VHIS Insurance Services Limited
醫保通保險服務有限公司",pmak@apexins.com
"Victory Insurance Consultants Limited
勝利保險顧問有限公司",admin@victoryins.com.hk
"Vision International Partners Limited
唯信國際顧問有限公司",pengpenghe@hzvip.com.hk
"Voyager Risk Solutions Limited
泓亞保險顧問有限公司",tommyho@voyfg.com;kayli@voyfg.com
"Wanson Insurance Brokerage Limited
萬森保險經紀有限公司",reb8855@gmail.com
"Warren W. Buffet Consultancy Ltd.
金城保險顧問有限公司",leoyeung814@yahoo.com.hk
Wealth Management Group Limited,info@wmg.com.hk
"Wellcovered Insurance Broker Limited
宏天保險經紀有限公司",selina@wellcoveredhk.com
"Well Tunes Financial Group Ltd.
滙通理財集團有限公司",welltunes@chinahrt.com
"Wen Sheng International Insurance Brokers Limited
文笙國際保險經紀有限公司",karina.ng@wsi-gp.com
"WE Wealth Management Limited
温商財富管理有限公司",admin@wewm.hk
Wickfield Insurance Brokers Ltd.,samuel.chan@wickfield.com.hk
"Wilson Financial Limited
中國滙生金融有限公司",wilsonfi@wilsoninternational.com.hk
"Wilson Risk Solutions Co. Ltd.
偉信風險管理顧問有限公司",wrs@wilsonrisk.com.hk
"Wilson Securities Limited
滙生證券有限公司",admin@wilsonsec.com.hk;victorchan@wilsoninternational.com.hk
"WinCapital Global Finance (Hong Kong) Ltd.
盈富環球理財(香港)有限公司",anna.mok@wincapital.hk
"Win Finance Wealth Management Limited
睿銀財富管理有限公司",justinchan@winfinance.hk
"Winford Insurance Brokers Limited
宏豐保險經紀有限公司",alfredho@winford-ins.com
"Winroad Asia Limited
運通亞洲有限公司",whph.rossana.wong@gmail.com
"Wintone Wealth Management Limited
榮通財富管理有限公司",frances.ng@wintonewealth.com
"Wisdom Alliance Wealth Management Limited
睿豐財富管理有限公司",service@wisalliance.com
"WISE Insurance Services (HK) Ltd.
萬達保險服務(香港)有限公司",othman.wong@wise-hk.com
"Worl-D Asset Management (Hong Kong) Limited
悠誠資產管理(香港)有限公司",bianca@worldamhk.com
"World Power Insurance Consultants Ltd.
宏安保險顧問有限公司",john.yen@wpichk.com;yvonne.chan@wpichk.com
"World Trade Capital Group Ltd.
世貿金融資本集團有限公司",admin@wtcapital.com.hk;key@wtcapital.com.hk
Ximco Corporation Limited,kyc@ximco.com;rho@ximco.com
"Ximco Insurance Brokers Ltd.
全安保險經紀有限公司","kyc@ximco.com,rho@ximco.com"
"YeeTah Insurance Consultant Limited
宜達保險顧問有限公司",irene@yeetah.com
"Yuanta Securities (HK) Co. Ltd.
元大證券(香港)有限公司",6110HK-Compliance.brk@yuanta.com
"Yu Fung Broker Limited
昱豐保險經紀有限公司",stanleychan@yufunggroup.com.hk
"Yunan Insurance Broker Ltd.
運安保險顧問有限公司",yunan@on-nets.com
"Zhongtai International Wealth Management Ltd.
中泰國際優越理財有限公司",clement.ting@ztsc.com.hk;wm@ztsc.com.hk
